date,event,result,location,image_url
1,08.09.2025,,"AsukadefeatsNikki Bella(10:29)WWE Monday Night RAW #1685- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",
2,01.09.2025,,"The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (11:38)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",
3,28.07.2025,,"Mixed:AJ Styles&The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Dominik Mysterio,Raquel Rodriguez&Roxanne Perez) (10:44)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",
4,14.07.2025,,"The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatThe Kabuki Warriors(Asuka&Kairi Sane) (10:24)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",
5,13.07.2025,,"WWE Women's Tag Team TitleFatal Four Way:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatAlexa Bliss&Charlotte FlairandSol Ruca&ZariaandThe Kabuki Warriors(Asuka&Kairi Sane) (10:52)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",
6,28.06.2025,,"Queen Of The Ring 2025 Final:Jade CargilldefeatsAsuka(8:34)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",
7,20.06.2025,,"Queen Of The Ring 2025 Semi Final:AsukadefeatsAlexa Bliss(9:25)WWE Friday Night SmackDown #1348- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
8,16.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:AsukadefeatsIvy NileandRaquel RodriguezandStephanie Vaquer(15:48)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",
9,04.05.2024,,"WWE Women's Tag Team Title:Bianca Belair&Jade CargilldefeatThe Kabuki Warriors(Asuka&Kairi Sane) (c) (17:22) -TITLE CHANGE !!!WWE Backlash 2024- Premium Live Event @ LDLC Arena in Décines-Charpieu, Frankreich",
10,03.05.2024,,"Bayley,Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane) &Tiffany Stratton(10:16)WWE Friday Night SmackDown #1289- TV-Show @ LDLC Arena in Décines-Charpieu, Frankreich",
11,02.05.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Live- House Show @ Stadthalle Halle D in Wien, Österreich",
12,01.05.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Live- House Show @ Unipol Arena in Bologna, Italien",
13,21.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Sunday Stunner- House Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",
14,20.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane)WWE Saturday Night's Main Event- House Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",
15,06.04.2024,,"Bianca Belair,Jade Cargill&NaomidefeatDamage CTRL(Asuka,Dakota Kai&Kairi Sane) (8:03)WWE WrestleMania XL - Saturday- Premium Live Event @ Lincoln Financial Field in Philadelphia, Pennsylvania, USA",
16,01.04.2024,,"Damage CTRL(Asuka,Dakota Kai&Kairi Sane) defeatShayna Baszler,Tegan Nox&Zoey Stark(9:00)WWE Monday Night RAW #1610- TV-Show @ Barclays Center in New York City, New York, USA",
